ÊµÑéÈËÔ±±àºÅ,ÄêÁä,Éí¸ß,ÌåÖØ,BMI,ÈÕÆÚ,Ê±¼ä,ÎÂ¶È£¨¡æ£©,Êª¶È£¨%£©,ÈÈÊæÊÊ½ÓÊÜ³Ì¶È£¨-3~3£©,ÈÈ¸Ğ¾õ£¨-3~3£©,ÓĞÎŞ·ç¸Ğ
2,22,178,65,20.51508648,2018/7/12,15:30:00,25.2,49,0.7,-0.5,0
2,22,178,65,20.51508648,2018/7/12,16:00:00,24.7,48,1.7,-0.1,0
2,22,178,65,20.51508648,2018/7/12,16:30:00,24.7,51,1.7,-0.6,0
2,22,178,65,20.51508648,2018/7/12,17:00:00,26.1,59,1.6,-0.2,0
2,22,178,65,20.51508648,2018/7/12,17:30:00,26.6,57,1.7,0,0
2,22,178,65,20.51508648,2018/7/13,8:50:00,25.9,63,1.3,0.3,0
2,22,178,65,20.51508648,2018/7/13,9:00:00,26.3,64,1.7,-0.2,0
2,22,178,65,20.51508648,2018/7/13,9:30:00,25.7,60,1.1,-0.1,0
2,22,178,65,20.51508648,2018/7/13,10:00:00,25.1,54,0.7,-0.8,0
2,22,178,65,20.51508648,2018/7/13,10:30:00,24.2,49,0.3,-0.7,0
2,22,178,65,20.51508648,2018/7/13,11:00:00,24.6,55,0.2,-0.7,0
2,22,178,65,20.51508648,2018/7/13,11:30:00,24.5,54,0.7,-0.2,0
2,22,178,65,20.51508648,2018/7/13,12:00:00,24.1,55,1.3,0.2,0
2,22,178,65,20.51508648,2018/7/13,14:20:00,nan,nan,nan,nan,nan
2,22,178,65,20.51508648,2018/7/13,14:30:00,nan,nan,nan,nan,nan
